place_id,place_name,review_rating,review_text,review_language,review_time,relative_time_description,author_name
ChIJQ7PlgMUFdkgR4Ucaac76JN0,Costa Coffee,5,"I come lately to revise, and the atmosphere and service is good. Store is clean, and customer service is amazing. My main coffee shop now",en,1766679178,a month ago,L
ChIJQ7PlgMUFdkgR4Ucaac76JN0,Costa Coffee,4,"As a barista, the coffee was divine, Nocolo knows what he is doing! The other staff were friendly and fast at cleaning and sanitizing the area. However the food choices behind the counter and in the sandwich section were almost bare. Too bare for middle of the day in my opinion.

Their clothes were clean, their work station was clean. The cups on top of the coffee machine need sorting out tho. Few minor tweaks but all in all a wonderful customer experience.",en,1602328624,5 years ago,Robin Pike
ChIJQ7PlgMUFdkgR4Ucaac76JN0,Costa Coffee,1,"On the Too Good to Go the  surprise bag shouldn’t be how small the amount is. Lady with the glasses always provides the smallest amount, 3 items that I can get for the same price at Sainsbury’s isn’t worth it.",en,1767203122,a month ago,Callum
ChIJQ7PlgMUFdkgR4Ucaac76JN0,Costa Coffee,2,"Not too bad service wise but the place absolutely reeks of mildew, not sure if there’s a mold problem but it stinks. 😷",en,1768444570,3 weeks ago,Hannah Kalvelage
ChIJP1VDwskFdkgRXb2iwwsspXE,Costa Coffee,3,"Actually impressive how they managed to get a roster of literally the most unpleasant female staff they could find.
I mean, if these girls hate the customers so much, maybe look for a job that doesn't need interaction with humans??",en,1764000997,2 months ago,shuperkewl
ChIJP1VDwskFdkgRXb2iwwsspXE,Costa Coffee,5,"The staff here are amazing and always have time (if you do) for a friendly chat or to help you out in any way they can. They have the luxury of not being the busiest branch of Costa in London, but that just means you don’t have to worry about finding a seat and can concentrate on relaxing, working, or just watching the world go by.

Directly opposite Clapham South station and alongside Clapham Common, it’s well located. Being a Costa you know what you are going to get; and the free wifi worked perfectly too.

If you found my review or photos helpful please leave a quick thumbs up 👍 Thank you! ☕️",en,1684454631,2 years ago,Sam Saltwell
ChIJP1VDwskFdkgRXb2iwwsspXE,Costa Coffee,5,"Balham it’s nice and busy area with a few options for a coup of coffee or tea . If you walk only 2 min away from the underground station to Costa coffee shop never regret for this choice because this place have a lovely staff, good and fast service, I recommend this coffee shop. Was busy in this afternoon but the service was really good because I no need to wait much. Also the rest room very clean as well.",en,1517704202,8 years ago,Liliana Popa
ChIJP1VDwskFdkgRXb2iwwsspXE,Costa Coffee,4,"I thought this was a nice cosy and friendly coffee shop. There were a couple of hiccups because they nearly served me a strong coffee although I asked for a decaf and I had to remove some used cups from my table. However they were playing some nice music and it’s very convenient because it’s just opposite Clapham South tube station and near to Clapham Common. There is also a Burger King nearby.
I’m also had a soft settee to myself so it was worth the visit. The staff seemed very friendly.",en,1557411490,6 years ago,Paul_R
ChIJP1VDwskFdkgRXb2iwwsspXE,Costa Coffee,5,"Me and my boyfriend visited this place yesterday and both of us were very impressed. As coffee lover I like Costa, but especially in this Costa Coffee I found a lot of warmth, coziness and a pleasant atmosphere. Food and drinks were nice as in any Costa.

However, what makes this place special in our eyes are the staff, especially Nicolo! The service provided, the kindness and attentiveness are at the highest level! It was pleasure!",en,1678104197,2 years ago,Maria Kostadinova
ChIJT6qUDVgPdkgR2bebyAb8LoM,Costa Coffee,5,I come nearly every morning. It Cosy and a wonderful environment.  The service is superb! The staff are excellent and wonderful people.,en,1761375649,3 months ago,Pherio Nickel
ChIJT6qUDVgPdkgR2bebyAb8LoM,Costa Coffee,5,"Honestly, the service and staff at this Costa are the best. Happy, assertive and welcoming.

Drinks are quickly served so no long waits and it never seems busy.

Plenty of desks for those working remotely or looking to just have a coffee and chill.

Two toilets, one for disabled use.",en,1671042071,3 years ago,Leroy Hall
ChIJT6qUDVgPdkgR2bebyAb8LoM,Costa Coffee,4,"Not bad, but could be better if people DO not judged by clothes or face) right?",en,1761240424,3 months ago,Ylia Коваленко
ChIJT6qUDVgPdkgR2bebyAb8LoM,Costa Coffee,3,The service at first was great but then 1 of the 2 Indian gentlemen thatcwork there was slightly sarcastic. So I had to be sarcastic back. And then thr coffee cream dissolved in 2 seconds waste of money.,en,1765995847,a month ago,nejendary_instagram
ChIJT6qUDVgPdkgR2bebyAb8LoM,Costa Coffee,5,I had been there for 3 hours on a work day as wifi connection at home went bad. The staff cleaned the tables frequently and the cafe was neat and quiet.,en,1763307884,2 months ago,Wendy WO
ChIJt57_KwAFdkgRWwIhWPVZMOQ,Costa Express,5,very nice and tasty coffee from the Costa express...there are 2 machines available... also in that place bakery and snacks also available,en,1751070909,7 months ago,It's Me
ChIJw66M6VEDdkgRfhput3eBucs,Costa Coffee,5,"I must commend this particular Costa establishment, as it consistently provides an exceptional experience. As a full-time caregiver for my mother, who is in the early stages of Alzheimer's, I deeply appreciate that this location serves as a secure and comforting environment for her. The clientele who frequent this establishment are consistently pleasant and respectful.

I would particularly like to acknowledge Frida, the Manager, and her colleagues Maya and Yasmin. Their customer service skills are exemplary; they are consistently polite, diligent, and perform admirably under demanding circumstances. It is a genuine pleasure to bring my mother to this safe haven. Furthermore, the quality of the beverages offered is consistently outstanding.",en,1768600032,3 weeks ago,Dave Huntley
ChIJw66M6VEDdkgRfhput3eBucs,Costa Coffee,2,"Costa Coffee is my go to for my Chai lattes and the. Costa Coffee at  Bell Green, Sydenham is usually very good. However, on Friday afternoon my granddaughter and I went to Costa, for a treat. I ordered my usual Chai latte, cheese and ham toastie and a fruit drink for my granddaughter. On first tasting my Chai latte it  tasted as if had been watered down as it had a watery consistency, and not like my usual Chai latte. I then asumed that it could have been made with skimmed milk. When i later asked was told that my drink was made with semi skimmed milk, which is what i would have expected. On leaving I collected the Chai latte I preordered and paid for. as a takeaway drink for my husband and watched as this was made.The Assistant  took the milk jug over to the sink, emptied the contents and appeared to add water, then added what appeared not to add a full quota milk to the jug.  The cheese toasties appeared not to be fully heated, or cut and I had to ask for a knife and napkins, which were not provided to us. During the weekend i was unwell, from Friday evening  with a horrible  bloty feeling and stomach cramps. And as I only drunk and eaten from this restaurant attributed it to the food and drink purchased. I've also noted that the customer service is dependent on whoever is serving, the teams on duty tend to change.A very  disappointing experience from a loyal Costa Coffee customer.",en,1768265287,3 weeks ago,Carlene Thomas
ChIJw66M6VEDdkgRfhput3eBucs,Costa Coffee,5,"The staff has made a beautiful mango fleppie bubble tea for me!
The Google maps location was incorrect, Costa is located inside the Next on the first floor.",en,1753567319,6 months ago,Macy Incywincymacy
ChIJw66M6VEDdkgRfhput3eBucs,Costa Coffee,5,"The staff in this branch are wonderful! Such lovely, helpful smiley girls!",en,1759144605,4 months ago,Kirst Abelle
ChIJw66M6VEDdkgRfhput3eBucs,Costa Coffee,5,"Top service
Great drinks & cakes",en,1718695212,a year ago,RayRay
ChIJDdJhq18DdkgRc3f7YRD12e4,Costa Coffee,5,"Staff are super friendly here, they are always so helpful and we come with lots of chaos and babies. Also really happy with the addition of all the vegan offerings as I can finally eat something! The vegan smoky ham and cheeze toastie is lovely.",en,1578782451,6 years ago,Iris Cohen
ChIJDdJhq18DdkgRc3f7YRD12e4,Costa Coffee,3,I use to go here every other day sometimes for food and sometimes for drinks what has happen to the lovely happy staff that were there before refurb  always had time to smile chat and joke with the new staff are as miserable as hell the new lady was rude to me last week and i refused to go back there if i see her which has been a lot so unfortunally i havent been back there such a shame bring back the old staff asap,en,1765298690,2 months ago,Pamela Sharland
ChIJDdJhq18DdkgRc3f7YRD12e4,Costa Coffee,5,We arrived it enjoying a  drink coffee.  Very  Good service. Appreciate and thank you.,en,1677861000,2 years ago,Tracey Mills
ChIJDdJhq18DdkgRc3f7YRD12e4,Costa Coffee,4,Delicious coffee costa and pastry and great atmosphere  recommended👌,en,1754566559,6 months ago,Concerned Voices UK
ChIJDdJhq18DdkgRc3f7YRD12e4,Costa Coffee,5,"I have been visiting this branch of Costa Coffee (Forest Hill) for a few months now and I must say that overall the staff here have been consistently friendly, helpful and keen on providing good service with a smile! I have only seen a long face once on a staff member, which confirms that they are human after all and not AI (robot - for you non-techies )! The cafe is always stocked with a great selection of food (although limited on the healthy options). Overall, the staff here are doing a great job and I for one do appreciate you guys! Let's drop our petty moanings and show some Love for a change! Peace :-)",en,1668786174,3 years ago,CAM
ChIJq6q6-XMBdkgRn9_pWNFDjDo,Costa Coffee,2,"It is a nice costa. I enjoy I a lot but unfortunately the service is not great. I spend nearly 30 per week here. I get no greeting, they speak in portugese amongst each other. I would like it if they become more customer focused",en,1766093382,a month ago,Quintin Oswald
ChIJq6q6-XMBdkgRn9_pWNFDjDo,Costa Coffee,1,"We ordered from here, and half the order was missing. All the hot food and drinks missing. Not impressed at all. There was literally no point in them sending the order with most of it missing",en,1764247231,2 months ago,Shauna Gregory
ChIJq6q6-XMBdkgRn9_pWNFDjDo,Costa Coffee,4,The coffee was very nice and the Hot Chocolate too. The plain butter croissant was awesome and the taste of butter was felt in every bite.,en,1658082807,3 years ago,Baran Raju
ChIJq6q6-XMBdkgRn9_pWNFDjDo,Costa Coffee,1,"Today morning,we have worst customer experience in the shop regarding to rude behaviour. I don’t want to mention team member name but every time we walk into store she started behaving rude and not polite way to serve customers. Please costa coffee resolve this issue. Thank you",en,1764174095,2 months ago,Saikiran Uppu
ChIJq6q6-XMBdkgRn9_pWNFDjDo,Costa Coffee,2,"Not a nice place to spend time. Air-conditioning way too low, dirty seats and it is far too big resulting in an uncosy feel. No soft furnishings so the echoing noise so much you struggle to hear yourself think. I won't be returning.",en,1754135574,6 months ago,Trev I
ChIJOdUCQRYCdkgRKx5l8kGogX8,Costa Coffee,5,Staff is polite and the shop is always clean and tidy. This costa shop is also opened till late which is good for weekend and sometimes after work.,en,1573413488,6 years ago,Goni Gon
ChIJOdUCQRYCdkgRKx5l8kGogX8,Costa Coffee,4,"The staff is kind and the drinks are very nice. During Christmas holidays I usually get the gingerbread latte with coconut milk and vegan cream on top.
There are vegan food options, but unfortunately all the food is wrapped in plastic, which is a downside for the environment.",en,1703803228,2 years ago,Valentina Caimi
ChIJOdUCQRYCdkgRKx5l8kGogX8,Costa Coffee,5,I order thru the app a lot and service is always amazing and order always ready for collection.,en,1768431459,3 weeks ago,Alana Fitzgerald
ChIJOdUCQRYCdkgRKx5l8kGogX8,Costa Coffee,1,"⭐️⭐️⭐️ (3 out of 5)

I came in for a coffee to start my morning—a simple comfort to begin the day. The coffee itself was good, no complaints there. However, the experience was unfortunately let down by the attitude of the staff.

The woman at the counter seemed visibly unhappy to be there. She avoided conversation, looked annoyed when I asked a question, and handled everything with a level of frustration that made the interaction uncomfortable. It honestly set a negative tone for the start of my day.

I understand that everyone has rough mornings, but in hospitality, a little kindness and professionalism go a long way. A smile, or at least a respectful demeanor, makes a big difference—especially when people come in hoping for a positive start to their day.

I hope this was just an off day, and that future visits will reflect more warmth and care in the service to match the quality of the coffee.",en,1748508349,8 months ago,Rachel Woolley Bretscher
ChIJOdUCQRYCdkgRKx5l8kGogX8,Costa Coffee,2,"Rude girl serving wears hijab doesn't know how to smile say pls or thankyou
Also her drink making is shocking",en,1769781394,a week ago,B
ChIJP-K7lbcPdkgRJW0m7jnBnrI,Costa Coffee,3,"I stopped to wait my friend.
Atmosphere is so good.
I was alone but I felt very comfortable.
I wonder if Wi-Fi are installed, become better.",en,1756576048,5 months ago,らすこー
ChIJP-K7lbcPdkgRJW0m7jnBnrI,Costa Coffee,4,A standard chain cafe in a busy shopping centre and tube station. There is a good range of food and drinks to choose from and there is a reasonable amount of seating.,en,1760287832,3 months ago,Matt H
ChIJP-K7lbcPdkgRJW0m7jnBnrI,Costa Coffee,5,"Lovely to see Reda and team today ,I’ve availed my free birthday cake and bought some coffee .
Costa offer the best coffee in my liking and  the only coffee shop  to remember the birthdays of their  regular customers and give treats.
Location is accessible and the atmosphere are relaxing and welcoming.
Customer care is always displayed with the friendly staff.
Good luck and thank you for my yearly birthday cakes .",en,1760602998,3 months ago,Marie Gigi Venus
ChIJP-K7lbcPdkgRJW0m7jnBnrI,Costa Coffee,5,"A lovely pit stop on my way home after my hospital appointment.  This Costa in the Bus Station opposite Tescos, the District line Train and Piccadilly Line Train is a 30 second walk away. A nice, quiet and clean café.  The food is simple but nice.  I had porridge and a decaf latte.  Needed to take my medication with food. The Lady with the two ponytails made my coffee and asked if I wanted to use my free coffee on my app.  NO ONE EVER SAYS THAT TO ME!  I paid with card.  I will use the free one another time. Thank you Costa Café in Broadway Shopping Centre - Bus Station. ⭐️⭐️⭐️⭐️⭐️",en,1736765307,a year ago,Aivale Cole
ChIJP-K7lbcPdkgRJW0m7jnBnrI,Costa Coffee,5,"Breakfast at Costa Coffee offers a delightful array of options that cater to various tastes and preferences. Whether you're in the mood for something savory or sweet, Costa Coffee's menu has you covered. You can start your day with a classic bacon roll or opt for a more indulgent choice like a sausage bap. For those who prefer a lighter breakfast, their selection of freshly baked pastries, such as croissants and muffins, paired with a steaming cup of expertly brewed coffee, makes for a perfect morning treat. Additionally, Costa Coffee provides vegetarian and vegan options, ensuring that everyone can enjoy a satisfying breakfast. The welcoming atmosphere and the aroma of freshly ground coffee beans make it a cozy spot to kick off your day.",en,1724597748,a year ago,Julie Sinclair
ChIJZ2l-1ngOdkgRYuYRqUCmPZQ,Costa Coffee,5,"This is the first time I have been entering this coast, and I must say that the place, although small, and well organized and welcoming, with a friendly and warm staff, especially matiateresa, who prepared a frappè with salty caramel, like I had never drunk before, But apart from the drink, his kindness and his professionalism made it possible for me to return as soon as possible, congratulations to the company, you could not hire a better employee, I will definitely return",en,1759596417,4 months ago,Luigi barletta
ChIJZ2l-1ngOdkgRYuYRqUCmPZQ,Costa Coffee,5,"Feedback for Maria Tereza (Barista)

I just wanted to take a moment to recognize and appreciate the wonderful service you've been providing. Every time you make my coffee, you do it with a warm smile and a kind attitude, and that truly makes a difference in my day.

Your friendliness, helpfulness, and positive energy don’t go unnoticed. It’s clear that you care about what you do and about the people you serve. Keep being exactly who you are — your kindness and professionalism are a real asset.

Thank you for always being so welcoming and helpful!",en,1760040524,4 months ago,Ehab Marcos
ChIJZ2l-1ngOdkgRYuYRqUCmPZQ,Costa Coffee,3,Maria at the till was extremely rude to a couple of ladies before me. She was clearly under stress and overwhelmed but she spoke to them with absolute disrespect. Spanish latte was nice and the sandwich was good. It was busy and the other two ladies at the counter were working their hardest but they were clearly embarrassed by the situation.,en,1751805263,7 months ago,Laura Juanola Bosch
ChIJZ2l-1ngOdkgRYuYRqUCmPZQ,Costa Coffee,5,Oh this is great Costa you know lots of families sitting down together having coffee together coffee is great snacks are great not maybe I like some carrot cake don't mind if I die a little treat for me you know but the only problem is my children are like I don't know if I don't want to sit down and have a nice conversation. This is a shame because all other families they sit down you know children they sit down with their parents have some coffee have nice conversation apart from that the Costa is great and it is very good environment very nice stuff not long kills usually so I can get my coffee and get some more if I need to give whatever.,en,1765752976,a month ago,Jasmine
ChIJZ2l-1ngOdkgRYuYRqUCmPZQ,Costa Coffee,5,"""Teresa, thank you for the amazing coffee — but even more, thank you for the positive energy you bring! Your smile and kindness made my day start on the right note. The coffee was perfect, but your vibe made it even better. Keep being awesome — people like you make a big difference!""",en,1760038120,4 months ago,Amy Amy
ChIJzfBZ2w0PdkgRst0CHK6vTs8,Costa Coffee,5,"I really like this Costa coffee, staff are very friendly and keep this Costa coffee in a really clean and tidy condition. The coffee was excellent, very well made, and the food was delicious. Seating is comfortable and plug sockets means we could stay here for a while. WiFi very quick! Good part of the shopping mall.",en,1676678682,2 years ago,Jake B
ChIJzfBZ2w0PdkgRst0CHK6vTs8,Costa Coffee,1,"The girl from Cuba
Staff at this branch should be more respectful. One team member was very rude and ignored questions about our order. She handed the drinks over carelessly and with no basic courtesy or friendliness. Not the customer service you expect from Costa.",en,1765118758,2 months ago,Adam O.
ChIJzfBZ2w0PdkgRst0CHK6vTs8,Costa Coffee,2,"If you want a nice quiet breakfast place in the mornings forget it at Putney High Street.
Too damned bright, too noisy. Who wants too be in a disco with the most appalling music blaring out at 8.30am ?
I had to go outside to receive a phone call.
3 of us couldn't even use the loo because the staff claimed sometimes the door locked itself from the inside?‼️‼️
The staff are presumably immune to this assault on the senses!
They don't really need to be doing their job you know",en,1759140363,4 months ago,Howard Jacks
ChIJzfBZ2w0PdkgRst0CHK6vTs8,Costa Coffee,5,"Best frappe our there. Super flavor, no to sweet and those sprinkles on the top give extra kick. My fave summer coffe
Peace 🤙",en,1686891270,2 years ago,Damian
ChIJzfBZ2w0PdkgRst0CHK6vTs8,Costa Coffee,1,We had an unpleasant experience with one of the employees. She was impatient and showed aggressive behaviour.,en,1761490648,3 months ago,Sina Kazemi
ChIJnR5G-A0PdkgR4HpWLnHV_Fc,Costa Coffee,5,Good Costa store. Staff are friendly and super fast. Clean and has the great Cappuccino!,en,1746359298,9 months ago,C hi
ChIJnR5G-A0PdkgR4HpWLnHV_Fc,Costa Coffee,5,"Possibly the longest distance runner that I ever had the pleasure of meeting was able to shout ‘What’s afloat you young goat’ at me when I entered COSTA COFFEE IN PUTNEY.
Well met by Moonlight … as Jonathan Coe wrote",en,1652044257,3 years ago,Andrew Moon
ChIJnR5G-A0PdkgR4HpWLnHV_Fc,Costa Coffee,1,"Google says open till 21:00. At 18:50 numerous staff say ""sorry we're closed"". If Costa was a football team, they should start worrying about relegation.",en,1645695203,3 years ago,Patrick Gavin
ChIJnR5G-A0PdkgR4HpWLnHV_Fc,Costa Coffee,1,"Says its open till 6pm on a Sunday, went there at 5.15pm, 'sorry we're closed, we close an hour early to take stock'. Why does it say its open then?!",en,1716740443,a year ago,MultiHowl
ChIJnR5G-A0PdkgR4HpWLnHV_Fc,Costa Coffee,5,"The staff are always so lovely at this Costa... they are the friendliest out of all the costas I have been to up and down the country!
Thanks for always being so cheery... xx",en,1485553152,9 years ago,Lorraine finnie
ChIJVVVVpbsPdkgReCbQtDFgqrM,Costa Coffee,5,"I used to come to this Costa quite often because I had a few hospital appointments. At first, I was just stopping by as a patient, but now I find myself coming back just for this Costa. Most of the time, I’ve been served by a really kind and gentle barista. I don’t know his name as his badge just said Barista, but I do remember he had a tattoo on his arm. He always made sure my coffee was exactly how I liked it and was genuinely friendly and easy to talk to, such a sweet soul, bless him🧿. Him alongside his colleagues really made my visits enjoyable. And the staff is really well mannered and attentive towards the customer’s needs, I’ll definitely keep coming back✨.",en,1769386629,a week ago,Nemy Joseph
ChIJVVVVpbsPdkgReCbQtDFgqrM,Costa Coffee,5,"I have visited the Costa branch at Charing Cross Hospital on several occasions and have consistently received efficient and pleasant service. The selection of food and beverages is of good quality, and the staff are always welcoming.
During my visit on 16 January 2026, I was served by a cashier named Any, who demonstrated exceptional politeness and friendliness. I would like to commend her professionalism and highlight that staff members of her calibre are a valuable asset to Costa.",en,1769002921,2 weeks ago,JB Singh
ChIJVVVVpbsPdkgReCbQtDFgqrM,Costa Coffee,1,"The lady that I think is a supervisor is very rude, extremely rude. I work in the hospital and I feel trapped with her customer service in this Costa branch. Please get rid of her!!!! She's awful to customers and staff. She covers her name with a scarf, so I couldn't see her name, otherwise I would mention it. No manners in addressing issues of any sort. The rest of the staff is quite kind and polite. It's a shame 1 person in charge ruines everything.",en,1768303003,3 weeks ago,Antonio
